Spot_index,x,y
0,685.6653501686727,1605.9650965881665
1,709.9111089374017,1574.2186901365744
2,734.1568677061301,1542.472283684982
3,573.6253668976564,1820.7652116039264
4,597.871125666385,1789.018805152334
5,622.1168844351138,1757.2723987007412
6,646.3626432038425,1725.525992249149
7,670.6084019725713,1693.7795857975564
8,694.8541607413003,1662.0331793459636
9,719.0999195100292,1630.286772894371
10,743.345678278758,1598.540366442779
11,767.5914370474867,1566.7939599911867
12,791.8371958162155,1535.047553539594
13,816.0829545849442,1503.301147088002
14,840.3287133536728,1471.5547406364094
15,864.5744721224017,1439.8083341848169
16,888.8202308911304,1408.0619277332246
17,413.0938660891829,2099.05813952287
18,437.3396248579117,2067.3117330712776
19,461.58538362664046,2035.5653266196853
20,485.8311423953691,2003.818920168093
21,510.07690116409776,1972.0725137165005
22,534.3226599328266,1940.3261072649084
23,558.5684187015553,1908.579700813316
24,582.8141774702841,1876.8332943617231
25,607.0599362390128,1845.0868879101315
26,631.3056950077416,1813.3404814585383
27,655.5514537764702,1781.594075006946
28,679.797212545199,1749.847668555354
29,704.0429713139279,1718.1012621037614
30,728.2887300826566,1686.3548556521685
31,752.5344888513854,1654.6084492005764
32,776.7802476201141,1622.862042748984
33,801.0260063888427,1591.1156362973911
34,825.2717651575716,1559.3692298457988
35,849.5175239263003,1527.6228233942068
36,873.7632826950291,1495.8764169426142
37,898.0090414637577,1464.1300104910215
38,922.2548002324866,1432.3836040394294
39,946.5005590012152,1400.637197587837
40,970.746317769944,1368.8907911362444
41,994.9920765386728,1337.1443846846523
42,1019.2378353074016,1305.3979782330598
43,1043.4835940761304,1273.6515717814673
44,1067.729352844859,1241.905165329875
45,1091.9751116135883,1210.1587588782825
46,1116.220870382317,1178.41235242669
47,349.5454003556244,2250.3654416354448
48,373.7911591243532,2218.619035183852
49,398.0369178930819,2186.87262873226
50,422.2826766618107,2155.126222280667
51,446.52843543053945,2123.3798158290747
52,470.7741941992682,2091.633409377482
53,495.01995296799697,2059.88700292589
54,519.2657117367257,2028.1405964742976
55,543.5114705054546,1996.394190022705
56,567.7572292741833,1964.6477835711128
57,592.002988042912,1932.9013771195205
58,616.2487468116407,1901.154970667928
59,640.4945055803696,1869.408564216336
60,664.7402643490983,1837.6621577647436
61,688.986023117827,1805.9157513131508
62,713.2317818865558,1774.1693448615588
63,737.4775406552845,1742.422938409966
64,761.7232994240132,1710.6765319583735
65,785.9690581927421,1678.9301255067817
66,810.2148169614708,1647.183719055189
67,834.4605757301996,1615.4373126035962
68,858.7063344989281,1583.6909061520037
69,882.9520932676571,1551.9444997004116
70,907.1978520363856,1520.1980932488189
71,931.4436108051144,1488.4516867972263
72,955.6893695738436,1456.7052803456345
73,979.9351283425718,1424.9588738940415
74,1004.1808871113008,1393.212467442449
75,1028.4266458800294,1361.4660609908572
76,1052.6724046487584,1329.7196545392646
77,1076.918163417487,1297.973248087672
78,1101.1639221862156,1266.2268416360798
79,1125.4096809549446,1234.4804351844873
80,1149.6554397236732,1202.7340287328948
81,1173.901198492402,1170.9876222813025
82,1198.1469572611304,1139.24121582971
83,310.2426933907945,2369.9263372964265
84,334.48845215952326,2338.179930844834
85,358.7342109282517,2306.433524393242
86,382.97996969698056,2274.6871179416494
87,407.2257284657093,2242.940711490057
88,431.471487234438,2211.194305038465
89,455.7172460031668,2179.4478985868723
90,479.9630047718956,2147.70149213528
91,504.2087635406243,2115.9550856836872
92,528.454522309353,2084.208679232095
93,552.7002810780817,2052.462272780502
94,576.9460398468105,2020.71586632891
95,601.1917986155394,1988.969459877318
96,625.4375573842682,1957.2230534257253
97,649.6833161529968,1925.4766469741328
98,673.9290749217256,1893.7302405225405
99,698.1748336904543,1861.983834070948
100,722.4205924591836,1830.237427619356
101,746.6663512279123,1798.4910211677634
102,770.9121099966411,1766.7446147161709
103,795.1578687653698,1734.9982082645784
104,819.4036275340985,1703.2518018129863
105,843.6493863028273,1671.5053953613935
106,867.895145071556,1639.758988909801
107,892.1409038402848,1608.0125824582085
108,916.3866626090136,1576.2661760066164
109,940.6324213777424,1544.5197695550237
110,964.8781801464712,1512.7733631034312
111,989.1239389152,1481.026956651839
112,1013.3696976839284,1449.2805502002464
113,1037.615456452657,1417.5341437486538
114,1061.861215221386,1385.7877372970618
115,1086.106973990115,1354.0413308454697
116,1110.352732758843,1322.2949243938767
117,1134.5984915275724,1290.548517942285
118,1158.8442502963012,1258.802111490692
119,1183.0900090650302,1227.0557050390996
120,1207.3357678337584,1195.309298587507
121,1231.5815266024874,1163.5628921359148
122,1255.8272853712162,1131.8164856843223
123,1280.073044139945,1100.0700792327302
124,319.4315039634224,2425.9944200542245
125,343.67726273215084,2394.2480136026315
126,367.9230215008796,2362.501607151039
127,392.1687802696084,2330.755200699447
128,416.4145390383372,2299.0087942478544
129,440.6602978070659,2267.262387796262
130,464.90605657579465,2235.5159813446694
131,489.15181534452336,2203.769574893077
132,513.3975741132522,2172.0231684414844
133,537.6433328819809,2140.276761989892
134,561.8890916507097,2108.5303555383
135,586.1348504194384,2076.7839490867077
136,610.3806091881671,2045.0375426351147
137,634.6263679568959,2013.2911361835224
138,658.8721267256246,1981.54472973193
139,683.1178854943535,1949.7983232803372
140,707.3636442630822,1918.051916828745
141,731.609403031811,1886.3055103771528
142,755.8551618005397,1854.5591039255603
143,780.1009205692684,1822.812697473968
144,804.3466793379972,1791.0662910223757
145,828.5924381067259,1759.3198845707832
146,852.8381968754546,1727.573478119191
147,877.0839556441836,1695.8270716675984
148,901.329714412912,1664.080665216006
149,925.575473181641,1632.334258764414
150,949.8212319503696,1600.5878523128213
151,974.0669907190984,1568.8414458612283
152,998.3127494878272,1537.095039409636
153,1022.558508256556,1505.348632958044
154,1046.8042670252848,1473.6022265064512
155,1071.050025794014,1441.855820054859
156,1095.2957845627425,1410.1094136032666
157,1119.5415433314713,1378.363007151674
158,1143.7873021002,1346.6166007000816
