bin_id	section_id	cluster
11467562687400	cs12_3	domain_D
11467562688000	cs12_3	domain_C
11467562688600	cs12_3	domain_C
11467562689200	cs12_3	domain_C
11596411703610	cs12_3	domain_D
11596411704210	cs12_3	domain_D
11596411704810	cs12_3	domain_D
11596411705410	cs12_3	domain_D
11596411706010	cs12_3	domain_D
11596411706610	cs12_3	domain_D
11596411707210	cs12_3	domain_C
11596411707810	cs12_3	domain_C
11725260722190	cs12_3	domain_D
11725260722790	cs12_3	domain_D
11725260723390	cs12_3	domain_D
11725260723990	cs12_3	domain_D
11725260724590	cs12_3	domain_D
11725260725190	cs12_3	domain_D
11725260725790	cs12_3	domain_C
11725260726390	cs12_3	domain_C
11725260726990	cs12_3	domain_C
11854109741310	cs12_3	domain_D
11854109741910	cs12_3	domain_D
11854109742510	cs12_3	domain_D
11854109743110	cs12_3	domain_D
11854109743710	cs12_3	domain_D
11854109744310	cs12_3	domain_D
11854109744910	cs12_3	domain_C
11854109745510	cs12_3	domain_C
11982958759710	cs12_3	domain_D
11982958760310	cs12_3	domain_D
11982958760910	cs12_3	domain_D
11982958761510	cs12_3	domain_D
11982958762110	cs12_3	domain_D
11982958762710	cs12_3	domain_D
11982958763310	cs12_3	domain_D
11982958763910	cs12_3	domain_C
11982958764510	cs12_3	domain_C
12111807778620	cs12_3	domain_D
12111807779220	cs12_3	domain_D
12111807779820	cs12_3	domain_D
12111807780420	cs12_3	domain_D
12111807781020	cs12_3	domain_D
12111807781620	cs12_3	domain_D
12111807782430	cs12_3	domain_C
12111807783030	cs12_3	domain_C
12111807783630	cs12_3	domain_C
12240656797680	cs12_3	domain_D
12240656798280	cs12_3	domain_D
12240656798880	cs12_3	domain_D
12240656799480	cs12_3	domain_D
12240656801340	cs12_3	domain_C
12240656801940	cs12_3	domain_C
12240656802540	cs12_3	domain_C
12369505816530	cs12_3	domain_D
12369505817130	cs12_3	domain_D
12369505817730	cs12_3	domain_D
12369505818330	cs12_3	domain_D
12369505820340	cs12_3	domain_C
12369505820940	cs12_3	domain_C
12369505821540	cs12_3	domain_C
12498354835500	cs12_3	domain_D
12498354836100	cs12_3	domain_D
12498354836700	cs12_3	domain_D
12498354838710	cs12_3	domain_D
12498354839310	cs12_3	domain_C
12498354839910	cs12_3	domain_C
12627203853810	cs12_3	domain_D
12627203854410	cs12_3	domain_D
12627203855040	cs12_3	domain_D
12627203855640	cs12_3	domain_D
12627203857200	cs12_3	domain_D
12627203858160	cs12_3	domain_C
12627203858760	cs12_3	domain_C
12627203859360	cs12_3	domain_C
12756052873200	cs12_3	domain_D
12756052874160	cs12_3	domain_D
12756052874760	cs12_3	domain_D
12756052875930	cs12_3	domain_D
12756052876560	cs12_3	domain_D
12756052877160	cs12_3	domain_C
12756052877760	cs12_3	domain_C
12884901891540	cs12_3	domain_D
12884901892140	cs12_3	domain_D
12884901892740	cs12_3	domain_D
