x,y,_index
5250,6360,12627203855040
4650,6360,12627203855640
3090,6360,12627203857200
2130,6360,12627203858160
1530,6360,12627203858760
930,6360,12627203859360
5970,6330,12756052873200
5010,6330,12756052874160
4410,6330,12756052874760
3240,6330,12756052875930
2610,6330,12756052876560
2010,6330,12756052877160
1410,6330,12756052877760
6510,6300,12884901891540
5910,6300,12884901892140
5310,6300,12884901892740
4710,6300,12884901893340
4110,6300,12884901893940
3120,6300,12884901894930
2520,6300,12884901895530
1920,6300,12884901896130
1320,6300,12884901896730
6510,6270,13013750910420
5910,6270,13013750911020
5310,6270,13013750911620
4710,6270,13013750912220
4110,6270,13013750912820
3240,6270,13013750913690
2640,6270,13013750914290
2040,6270,13013750914890
1440,6270,13013750915490
840,6270,13013750916090
6090,6240,13142599929720
5460,6240,13142599930350
4860,6240,13142599930950
4200,6240,13142599931610
3360,6240,13142599932450
2760,6240,13142599933050
2160,6240,13142599933650
1560,6240,13142599934250
960,6240,13142599934850
6210,6210,13271448948480
5550,6210,13271448949140
4950,6210,13271448949740
4350,6210,13271448950340
3420,6210,13271448951270
2820,6210,13271448951870
2220,6210,13271448952470
1620,6210,13271448953070
1020,6210,13271448953670
6330,6180,13400297967240
5670,6180,13400297967900
5070,6180,13400297968500
4470,6180,13400297969100
3450,6180,13400297970120
2850,6180,13400297970720
2250,6180,13400297971320
1650,6180,13400297971920
1050,6180,13400297972520
6420,6150,13529146986030
5700,6150,13529146986750
5100,6150,13529146987350
4500,6150,13529146987950
3480,6150,13529146988970
2880,6150,13529146989570
2280,6150,13529146990170
1680,6150,13529146990770
1080,6150,13529146991370
6480,6120,13657996004850
5760,6120,13657996005570
5160,6120,13657996006170
4560,6120,13657996006770
3510,6120,13657996007820
2910,6120,13657996008420
2310,6120,13657996009020
1710,6120,13657996009620
1110,6120,13657996010220
6540,6090,13786845023670
5820,6090,13786845024390
5220,6090,13786845024990
4620,6090,13786845025590
3570,6090,13786845026640
2970,6090,13786845027240
2370,6090,13786845027840
1770,6090,13786845028440
1170,6090,13786845029040
6600,6060,13915694042490
5880,6060,13915694043210
5280,6060,13915694043810
4680,6060,13915694044410
3660,6060,13915694045430
3060,6060,13915694046030
2460,6060,13915694046630
1860,6060,13915694047230
1260,6060,13915694047830
660,6060,13915694048430
6270,6030,14044543061700
5490,6030,14044543062480
4890,6030,14044543063080
4290,6030,14044543063680
3420,6030,14044543064550
2820,6030,14044543065150
2220,6030,14044543065750
1620,6030,14044543066350
1020,6030,14044543066950
6810,6000,14173392080040
6210,6000,14173392080640
5400,6000,14173392081450
4800,6000,14173392082050
4200,6000,14173392082650
3420,6000,14173392083430
2820,6000,14173392084030
2220,6000,14173392084630
1620,6000,14173392085230
1020,6000,14173392085830
6840,5970,14302241098890
6240,5970,14302241099490
